id,off_start_day,off_start_time,off_end_day,off_end_time
1,11,1,13,24
1,11,1,13,24
1,11,1,13,24
1,46,1,48,24
1,46,1,48,24
1,46,1,48,24
1,81,1,83,24
1,116,1,117,20
1,116,1,117,20
1,116,1,117,20
1,179,1,181,6
1,179,1,181,6
1,179,1,181,6
1,214,1,216,24
1,214,1,216,24
1,214,1,216,24
1,298,1,299,22
1,298,1,299,22
2,74,1,148,24
2,102,7,102,16
2,145,9,145,17
2,145,9,145,17
2,165,1,165,18
2,165,1,165,18
2,165,1,165,18
2,281,1,325,24
2,281,1,325,24
2,281,1,325,24
2,347,8,354,24
3,88,7,88,17
3,89,7,89,17
3,96,7,96,17
3,144,1,144,18
3,144,1,144,18
3,144,1,144,18
3,244,1,262,24
3,244,1,262,24
3,244,1,262,24
4,46,1,48,24
4,46,1,48,24
4,46,1,48,24
4,60,1,62,24
4,60,1,62,24
4,60,1,62,24
4,131,1,181,24
4,131,1,165,24
4,131,1,165,24
4,174,12,175,12
4,174,12,175,12
4,176,6,179,24
4,176,6,179,24
4,294,7,295,24
4,294,7,295,24
4,294,7,295,24
4,319,1,321,24
4,319,1,321,24
4,319,1,321,24
5,18,3,19,24
5,74,1,76,24
5,74,1,76,24
5,74,1,76,24
5,109,1,111,24
5,109,1,111,24
5,109,1,111,24
5,144,1,144,18
5,151,1,153,24
5,151,1,153,24
5,151,1,153,24
5,200,1,202,24
5,200,1,202,24
5,200,1,202,24
5,235,1,237,24
5,235,1,237,24
5,235,1,237,24
5,296,7,297,24
5,296,7,297,24
5,296,7,297,24
5,306,1,307,24
7,25,1,28,24
7,25,1,28,24
7,25,1,28,24
7,137,1,139,24
7,137,1,139,24
7,137,1,139,24
7,291,1,293,24
7,291,1,293,24
7,291,1,293,24
8,28,1,31,24
8,28,1,31,24
8,28,1,31,24
8,125,1,127,24
8,125,1,127,24
8,145,1,145,5
8,274,1,319,24
8,278,1,323,24
8,278,1,319,24
8,325,22,328,24
10,32,1,34,24
10,139,1,164,24
10,139,1,164,24
10,139,1,164,24
10,193,1,194,24
10,194,1,195,24
10,263,1,265,24
10,291,1,293,24
10,298,1,299,24
10,299,1,300,24
10,304,1,366,24
10,304,1,366,24
10,304,1,425,24
11,97,1,116,24
11,97,1,116,24
11,127,1,148,24
11,127,1,165,24
11,127,1,148,24
11,127,1,148,24
11,127,1,148,24
11,155,1,157,18
11,155,1,157,18
11,160,1,165,24
11,160,1,165,24
11,160,1,165,24
11,160,1,165,24
11,266,1,270,24
11,287,1,291,24
11,296,1,300,24
11,296,1,327,24
11,296,1,300,24
11,319,1,319,22
11,319,1,319,22
11,354,1,357,24
11,354,1,357,24
11,361,1,364,24
11,361,1,364,24
11,361,1,364,24
11,361,1,364,24
11,361,1,364,24
12,11,12,13,6
12,11,12,13,6
12,18,1,20,6
12,18,1,20,6
12,25,1,34,24
12,25,1,34,24
12,62,1,189,24
12,62,1,189,24
12,95,1,97,24
12,95,1,97,24
12,108,1,111,24
12,108,1,111,24
12,117,1,118,24
12,117,1,118,24
12,151,1,153,24
12,151,1,153,24
12,185,1,188,24
12,185,1,188,24
12,214,1,215,24
12,214,1,215,24
12,221,1,223,24
12,221,1,223,24
12,263,1,264,24
12,263,1,264,24
12,269,1,273,24
12,269,1,273,24
12,270,1,272,24
12,270,1,272,24
12,291,6,292,24
12,291,6,292,24
12,326,1,328,24
12,326,1,328,24
12,326,1,328,24
12,326,1,328,24
12,333,1,336,24
12,333,1,336,24
12,340,1,343,24
12,340,1,343,24
13,4,1,6,8
13,4,1,6,8
13,67,1,69,24
13,67,1,69,24
13,74,1,76,24
13,74,1,76,24
13,123,1,141,24
13,123,1,141,24
13,143,1,152,24
13,143,1,152,24
13,263,1,266,24
13,263,1,266,24
13,276,1,281,24
13,276,1,281,24
13,282,1,286,24
13,282,1,286,24
14,90,1,178,24
14,90,1,178,24
14,150,1,153,24
14,150,1,153,24
14,272,1,364,24
14,272,1,364,24
14,302,1,315,24
14,302,1,315,24
15,63,1,163,24
15,63,1,163,24
15,157,1,160,24
15,157,1,160,24
15,251,1,343,24
15,251,1,343,24
15,302,1,315,24
15,302,1,315,24
16,83,1,96,24
16,83,1,96,24
16,157,1,160,24
16,157,1,160,24
16,325,1,336,24
16,325,1,336,24
16,325,1,336,24
16,325,1,336,24
16,339,1,340,24
16,339,1,340,24
17,1,1,15,24
17,1,1,15,24
17,18,1,20,24
17,18,1,20,24
17,53,1,56,24
17,53,1,56,24
17,146,1,171,24
17,146,1,171,24
17,192,1,195,24
17,192,1,195,24
17,236,5,237,24
17,236,5,237,24
17,286,1,291,24
17,286,1,291,24
17,325,1,336,24
17,325,1,336,24
17,325,1,336,24
17,325,1,336,24
17,352,1,362,24
17,352,1,362,24
18,63,13,63,18
18,63,13,63,18
18,63,13,63,18
18,63,13,63,18
18,82,9,82,17
18,90,1,116,24
