id,off_start_day,off_start_time,off_end_day,off_end_time
28,74,1,112,24
28,283,1,288,20
28,297,12,312,24
28,321,1,330,24
29,10,1,26,24
29,114,1,118,24
29,121,1,126,24
29,224,1,229,24
29,258,1,371,24
30,1,1,44,24
30,154,1,167,24
31,67,1,69,24
31,120,1,127,24
31,225,1,230,24
32,1,1,366,24
32,1,1,366,24
42,93,1,102,24
42,176,1,190,24
42,291,1,302,24
43,63,1,177,24
43,309,1,327,24
44,1,1,152,24
44,279,1,354,24
45,1,1,60,24
45,167,1,179,24
45,176,1,192,24
45,319,1,326,24
45,326,1,333,24
46,87,8,88,24
46,187,1,188,6
46,196,1,202,24
46,222,1,234,24
46,241,1,244,24
46,318,1,328,24
46,332,1,353,24
46,335,1,343,24
47,1,1,1,24
47,34,1,155,24
47,63,1,70,24
47,83,1,121,24
47,230,1,357,24
52,84,1,111,24
53,63,1,177,24
53,225,1,228,24
53,286,12,328,24
54,19,1,20,24
54,46,1,52,24
54,55,1,62,24
54,67,1,92,24
54,67,1,69,24
54,74,1,76,24
54,81,1,83,24
54,88,1,90,24
54,132,1,150,24
54,134,1,137,24
54,179,1,188,24
54,357,1,363,24
55,8,1,11,24
55,55,1,62,24
55,67,1,69,24
55,74,1,76,24
55,81,1,83,24
55,88,1,90,24
55,97,1,120,24
55,154,1,157,24
55,265,1,349,24
55,289,1,293,24
55,354,1,364,24
56,1,1,305,24
56,1,1,192,24
56,242,1,260,24
56,329,1,336,24
57,61,1,67,24
57,67,1,69,24
57,74,1,76,24
57,81,1,83,24
57,88,1,90,24
57,139,1,151,24
57,183,1,188,24
57,255,1,330,24
57,350,1,358,24
60,129,5,131,12
60,284,1,332,24
60,335,1,337,24
60,351,1,354,24
61,85,1,165,24
61,296,1,301,24
61,324,1,327,24
63,101,1,170,24
64,319,1,330,24
74,66,1,160,24
74,308,1,310,14
75,101,1,112,24
75,153,1,160,24
75,271,1,289,24
75,319,1,322,24
76,112,1,170,24
76,193,1,195,24
76,286,1,293,24
76,298,1,305,24
76,310,1,314,24
76,340,1,342,24
77,55,1,118,24
77,67,1,69,24
77,74,1,76,24
77,81,1,83,24
77,88,1,90,24
77,143,9,144,24
77,146,9,147,24
77,153,1,174,24
77,193,1,195,24
77,221,1,222,24
77,250,1,258,24
77,333,1,336,24
77,346,1,353,24
78,28,1,33,24
78,54,1,71,24
78,74,1,76,24
78,77,10,78,24
78,81,1,83,24
78,90,1,155,24
78,127,1,129,24
78,157,1,160,24
78,172,1,175,24
78,180,1,187,24
78,258,1,273,24
78,282,1,298,24
78,296,1,304,24
78,299,1,306,24
81,24,1,32,24
81,97,1,108,24
81,341,14,342,14
81,347,1,348,18
81,354,1,355,18
94,11,1,15,24
94,63,1,109,24
94,129,1,176,24
94,184,21,188,14
94,286,1,322,24
94,346,1,348,24
115,42,1,44,11
115,55,1,136,24
116,55,1,69,24
116,74,1,76,24
116,81,1,83,24
116,88,1,90,24
116,248,1,250,24
117,39,1,41,24
117,67,1,69,24
117,74,1,76,24
117,81,1,83,24
117,119,1,157,24
117,221,1,226,24
117,302,1,307,24
118,67,1,69,24
118,300,1,333,24
119,16,1,30,24
119,31,12,32,24
119,55,1,69,24
119,67,1,69,24
119,74,1,76,24
119,74,1,76,24
119,81,1,83,24
119,81,1,83,24
119,88,1,90,24
119,88,1,90,24
119,93,1,121,24
119,160,1,165,24
119,283,1,288,24
119,321,1,323,24
119,354,1,357,24
120,7,1,13,24
120,67,1,69,24
120,74,1,76,24
120,81,1,83,24
120,88,1,90,24
120,104,1,193,24
120,286,1,312,24
120,339,1,342,24
121,67,1,69,24
121,74,1,76,24
121,81,1,83,24
121,93,1,121,24
121,283,1,291,24
121,286,1,296,24
121,337,11,340,24
122,38,1,137,24
122,60,1,90,24
122,169,1,181,24
122,271,1,298,24
122,299,1,301,24
