id,off_start_day,off_start_time,off_end_day,off_end_time
28,28,18,30,24
28,105,1,118,24
28,265,20,269,13
29,67,1,96,24
30,59,1,66,20
30,159,1,172,24
30,257,21,261,7
31,127,1,140,24
31,181,20,185,8
31,261,14,262,2
31,305,1,365,24
31,366,1,420,24
32,1,1,365,24
32,31,1,365,24
32,366,1,410,24
32,366,1,479,24
42,59,1,153,24
43,99,1,100,24
43,101,1,119,24
43,232,1,233,3
43,280,1,284,8
44,1,1,430,24
44,197,1,198,12
44,260,6,261,18
45,1,1,365,24
45,64,1,65,24
45,120,1,121,24
45,145,1,166,24
46,64,1,65,24
46,73,1,79,24
46,155,1,155,24
46,233,23,236,24
46,339,1,345,24
47,66,1,144,24
47,80,1,104,24
47,120,1,121,24
47,155,1,155,24
47,262,1,359,24
52,76,1,191,24
52,233,1,234,6
53,59,1,73,24
53,117,21,122,6
53,185,1,191,24
53,232,1,233,6
54,66,1,134,24
54,134,1,146,24
54,154,22,157,22
54,161,22,163,22
54,216,18,219,24
55,52,1,59,24
55,105,1,107,20
55,127,1,128,24
55,134,1,135,24
55,141,1,142,24
55,148,1,149,24
55,161,22,163,22
55,190,1,191,24
55,231,1,233,24
55,260,1,272,24
55,277,1,298,24
55,321,1,324,24
56,52,1,58,24
56,52,1,66,24
56,59,1,78,24
56,71,1,73,24
56,78,1,80,24
56,78,1,80,24
56,85,1,87,24
56,97,22,101,4
56,99,1,100,24
56,101,1,114,24
56,127,1,128,24
56,134,1,135,24
56,141,1,142,24
56,148,1,149,24
56,154,22,157,22
56,279,1,283,6
56,335,1,339,24
56,358,1,423,24
57,80,1,184,24
57,85,1,87,24
57,123,1,150,24
57,197,4,198,6
57,210,22,213,5
57,232,3,234,3
60,73,12,147,24
60,263,1,266,24
60,312,16,335,24
61,63,1,72,24
61,267,1,313,24
63,118,1,128,24
64,106,1,116,24
74,148,1,167,24
75,63,1,149,24
76,1,1,421,24
76,91,11,112,24
76,154,1,184,24
76,258,20,261,24
76,283,1,289,24
77,52,1,65,24
77,52,1,58,24
77,64,1,65,24
77,71,1,72,24
77,71,1,72,24
77,78,1,79,24
77,78,1,79,24
77,85,1,86,24
77,85,1,86,24
77,92,1,93,24
77,99,1,100,24
77,106,1,119,24
77,120,1,121,24
77,127,1,128,24
77,134,1,135,24
77,141,1,142,24
77,148,1,149,24
77,155,1,157,24
77,162,1,163,24
77,252,1,366,24
77,293,1,359,24
78,91,21,93,18
78,115,1,149,24
78,162,1,163,13
78,176,1,177,16
78,183,1,184,16
78,190,1,191,16
78,262,1,305,24
81,21,16,37,10
81,91,1,182,24
81,210,21,212,24
81,294,16,311,10
94,71,1,92,24
94,107,1,184,24
94,267,1,278,24
94,313,1,334,24
115,59,1,91,11
116,52,1,90,24
116,119,12,122,19
116,256,1,332,24
116,344,1,358,24
117,94,10,108,24
117,256,1,261,24
118,1,1,34,6
118,122,1,172,24
118,322,1,331,24
119,38,1,42,24
119,52,1,59,24
119,60,1,90,24
119,92,1,93,24
119,99,1,100,24
119,106,1,107,24
119,113,1,114,24
119,120,1,121,24
119,127,1,128,24
119,154,23,157,23
119,183,1,184,24
119,259,1,344,24
119,278,8,283,24
119,284,1,287,24
119,291,1,325,24
120,43,1,106,24
120,113,1,114,24
120,120,1,121,24
120,127,1,128,24
120,134,1,135,24
120,148,1,149,24
120,150,1,159,24
120,183,1,184,24
120,277,1,280,24
120,314,1,320,24
120,320,1,325,24
121,64,1,65,24
121,64,1,65,24
121,71,1,72,24
121,71,1,72,24
121,78,1,79,24
121,78,1,79,24
121,99,1,100,24
121,106,1,107,24
121,113,1,114,24
121,120,1,121,24
121,134,1,135,24
121,136,1,142,24
121,154,23,157,23
121,183,1,184,24
121,297,1,358,24
122,52,1,58,24
122,63,18,65,24
122,71,1,72,24
122,78,1,79,24
122,85,1,86,24
122,91,1,154,24
122,92,1,93,24
122,106,1,107,24
122,108,1,116,24
122,127,1,128,24
122,134,1,135,24
122,148,1,149,24
122,160,1,173,24
122,183,1,184,24
122,294,1,297,15
122,322,1,335,24
