id,off_start_day,off_start_time,off_end_day,off_end_time
1,22,1,23,22
1,22,1,23,22
1,22,1,23,22
1,29,8,31,22
1,29,8,31,22
1,29,8,31,22
1,91,1,117,24
1,91,1,117,24
1,91,1,117,24
1,162,1,164,6
1,162,1,164,6
1,162,1,164,6
1,254,1,255,21
1,254,1,255,21
1,254,1,255,21
1,274,2,275,9
1,274,14,275,20
1,344,3,345,20
1,351,1,353,24
2,115,8,119,18
2,115,8,119,18
2,115,8,119,18
2,125,4,125,18
2,126,4,126,18
2,129,9,129,18
2,129,9,129,18
2,129,9,129,18
2,130,12,130,17
2,130,17,130,20
2,130,17,130,20
2,130,17,130,20
2,156,6,156,20
2,156,6,156,20
2,156,6,156,20
2,176,6,176,19
2,176,6,176,19
2,176,6,176,19
2,274,6,304,20
2,274,6,304,20
2,274,6,304,20
3,58,8,58,17
3,58,8,58,17
3,58,8,58,17
3,118,8,118,18
3,119,8,119,18
3,122,8,126,18
3,122,8,126,18
3,122,8,126,18
3,126,18,127,21
3,126,18,127,21
3,126,18,127,21
3,131,9,131,18
3,131,9,131,18
3,131,9,131,18
3,132,12,132,17
3,132,17,132,20
3,132,17,132,20
3,132,17,132,20
3,177,6,177,19
3,177,6,177,19
3,177,6,177,19
3,274,6,304,20
3,274,6,304,20
3,274,6,304,20
3,317,8,317,15
4,30,1,32,24
4,30,1,32,24
4,30,1,32,24
4,57,18,59,24
4,57,18,59,24
4,57,18,59,24
4,93,9,94,24
4,93,9,94,24
4,93,9,94,24
4,111,7,111,19
4,112,7,112,19
4,176,6,178,24
4,176,6,178,24
4,176,6,178,24
4,302,1,303,24
4,302,1,303,24
4,302,1,303,24
5,29,1,32,24
5,29,1,32,24
5,29,1,32,24
5,141,6,143,24
5,141,6,143,24
5,141,6,143,24
5,232,1,234,24
5,232,1,234,24
5,232,1,234,24
5,281,12,284,24
5,281,12,284,24
5,281,12,284,24
5,344,1,346,24
5,344,1,346,24
5,344,1,346,24
7,29,1,33,24
7,29,1,33,24
7,29,1,33,24
7,43,1,44,24
7,43,1,44,24
7,43,1,44,24
7,140,1,153,4
7,140,1,153,7
7,140,1,153,4
7,204,1,205,24
7,204,1,205,24
7,204,1,205,24
7,316,1,317,24
7,316,1,317,24
7,316,1,317,24
8,29,1,34,1
8,29,1,34,1
8,29,1,34,1
8,43,1,45,1
8,43,1,45,1
8,43,1,45,1
8,150,1,176,24
8,154,1,181,24
8,154,1,176,24
8,183,1,184,24
8,183,1,184,24
8,183,1,184,24
8,302,1,303,24
8,302,1,303,24
8,302,1,303,24
10,97,1,174,24
10,97,1,174,24
10,97,1,174,24
10,211,1,211,24
10,211,1,211,24
10,211,1,211,24
10,257,8,257,21
10,265,5,265,21
10,266,5,266,21
10,302,1,302,24
10,303,1,303,24
10,310,1,310,8
10,310,1,310,8
10,310,1,310,8
11,94,1,147,24
11,104,1,147,24
11,104,1,147,24
11,104,1,147,24
11,104,1,147,24
11,149,1,154,24
11,164,1,168,24
11,257,1,259,24
11,318,1,322,24
12,22,1,24,5
12,22,1,24,5
12,29,1,34,5
12,29,1,34,5
