id,off_start_day,off_start_time,off_end_day,off_end_time
68,362,1,407,24
70,305,1,392,21
71,37,1,115,24
72,75,10,137,24
83,81,1,260,24
84,269,1,375,24
85,1,1,335,24
87,240,1,717,11
88,17,1,165,24
97,220,1,298,24
98,169,1,224,24
99,332,1,385,24
100,1,1,226,24
101,236,1,294,24
108,251,1,312,24
109,254,1,256,15
109,307,1,362,24
112,48,1,159,24
112,160,1,182,24
