id,off_start_day,off_start_time,off_end_day,off_end_time
1,49,1,51,6
1,56,1,58,24
1,70,1,72,24
1,70,1,72,24
1,70,1,72,24
1,84,1,86,24
1,84,1,86,24
1,84,1,86,24
1,91,1,93,3
1,91,1,93,3
1,98,1,100,24
1,98,1,100,24
1,98,1,100,24
1,105,1,107,24
1,105,1,107,24
1,105,1,107,24
1,112,1,114,6
1,112,1,114,6
1,112,1,114,6
1,119,1,122,24
1,140,9,140,21
1,140,9,140,21
1,140,9,140,21
1,141,8,141,21
1,161,1,163,24
1,161,1,163,24
1,161,1,163,24
1,174,22,177,24
1,174,22,177,24
1,174,22,177,24
1,196,1,198,3
1,196,1,198,3
1,196,1,198,3
1,245,1,247,24
1,245,1,247,24
1,245,1,247,24
1,252,1,254,24
1,252,1,254,24
1,252,1,254,24
1,259,1,261,24
1,259,1,261,24
1,259,1,261,24
1,266,1,268,24
1,266,1,268,24
1,266,1,268,24
1,272,1,277,24
1,272,1,277,24
1,272,1,277,24
1,280,8,280,20
1,280,8,280,20
1,280,8,280,20
1,281,8,281,20
1,281,8,281,20
1,281,8,281,20
1,282,8,282,20
1,282,8,282,20
1,282,8,282,20
1,294,1,296,24
1,294,1,296,24
1,294,1,296,24
1,308,1,310,24
1,322,8,323,19
1,322,8,323,19
1,322,8,323,19
1,329,8,329,20
1,330,8,330,20
1,336,1,337,24
1,336,1,337,24
1,336,1,337,24
2,91,8,124,24
2,91,8,126,24
2,91,8,124,24
2,246,8,246,18
2,247,1,284,24
2,247,1,284,24
2,247,1,284,24
2,315,7,316,21
2,315,7,316,21
2,315,7,316,21
2,358,7,358,21
3,125,8,152,24
3,125,8,153,24
3,125,8,152,24
3,266,7,267,21
3,266,7,267,21
3,266,7,267,21
3,294,7,303,21
3,294,7,303,21
3,294,7,303,21
3,330,8,331,21
3,330,8,331,21
3,330,8,331,21
3,344,7,344,21
3,344,7,344,21
3,344,7,344,21
3,351,7,351,21
3,351,7,351,21
3,351,7,351,21
3,358,7,359,21
4,7,6,8,20
4,63,4,65,24
4,63,4,64,24
4,63,4,64,24
4,70,1,72,24
4,70,1,72,24
4,70,1,72,24
4,154,6,155,24
4,154,6,155,24
4,154,6,155,24
4,282,1,309,24
4,282,1,309,24
4,282,1,309,24
4,350,1,352,24
4,350,1,351,24
4,350,1,351,24
5,28,1,30,24
5,119,1,121,24
5,119,1,121,24
5,119,1,121,24
5,148,1,175,24
5,148,1,175,24
5,148,1,175,24
5,210,1,211,24
5,210,1,212,24
5,210,1,211,24
5,294,1,296,24
5,294,1,296,24
5,294,1,296,24
7,21,1,30,24
7,21,1,30,24
7,21,1,30,24
7,154,1,156,24
7,154,1,156,24
7,154,1,156,24
7,273,1,275,24
7,273,1,275,24
7,273,1,275,24
7,340,1,344,24
8,6,1,9,24
8,6,1,9,24
8,6,1,9,24
8,21,1,30,1
8,21,1,30,1
8,21,1,30,1
8,105,8,105,18
8,168,1,170,24
8,168,1,170,24
8,168,1,170,24
8,268,1,285,24
8,268,1,290,24
8,268,1,285,24
8,341,1,363,24
10,49,1,51,6
10,85,1,86,4
10,141,1,164,24
10,141,1,164,24
10,141,1,164,24
10,225,1,226,24
10,225,1,226,24
10,225,1,226,24
10,239,1,239,13
10,245,1,246,24
10,245,1,246,24
10,245,1,246,24
10,267,1,267,18
10,288,10,288,15
10,288,10,288,15
10,288,10,288,15
10,295,5,295,15
10,295,5,295,15
10,295,5,295,15
10,302,1,303,24
10,302,1,303,24
10,302,1,303,24
10,309,1,310,24
11,100,1,104,24
11,100,1,104,24
11,100,1,104,24
11,100,1,104,24
11,100,1,104,24
11,124,1,182,24
11,129,1,182,24
11,231,1,231,18
11,231,1,231,18
11,275,1,292,24
11,275,1,292,24
11,285,1,307,24
11,291,1,329,24
11,312,1,317,24
11,314,1,317,24
11,314,1,317,24
11,314,1,317,24
12,6,1,9,24
12,6,1,9,24
12,42,1,52,24
12,42,1,52,24
12,60,1,138,24
12,60,1,138,24
12,69,1,73,24
12,69,1,73,24
12,116,1,117,24
12,116,1,117,24
12,147,1,149,24
12,147,1,149,24
12,167,1,170,24
12,167,1,170,24
12,276,1,283,24
12,276,1,283,24
12,282,1,320,24
12,282,1,320,24
12,349,1,354,24
12,349,1,354,24
12,356,13,368,24
12,356,13,368,24
13,91,1,93,24
13,91,1,93,24
13,113,1,148,24
13,113,1,148,24
13,244,1,247,24
13,244,1,247,24
13,251,1,310,24
13,251,1,310,24
13,311,1,317,24
13,311,1,317,24
13,320,1,322,24
13,320,1,322,24
13,322,1,324,24
13,322,1,324,24
13,329,1,331,24
13,329,1,331,24
13,334,1,338,24
13,334,1,338,24
14,15,1,16,24
14,15,1,16,24
14,58,1,118,24
14,58,1,118,24
14,89,9,91,24
14,89,9,91,24
14,170,1,180,24
14,170,1,180,24
14,174,1,177,24
14,174,1,177,24
14,261,1,305,24
14,261,1,305,24
14,286,20,289,6
14,286,20,289,6
14,343,1,345,24
14,343,1,345,24
14,343,1,345,24
14,343,1,345,24
15,57,1,58,24
15,86,1,94,24
15,86,1,94,24
15,89,9,91,24
15,89,9,91,24
15,153,1,155,24
15,153,1,155,24
15,160,1,187,24
15,160,1,187,24
15,174,1,177,24
15,174,1,177,24
15,203,1,204,24
15,203,1,204,24
15,286,20,289,6
15,286,20,327,24
15,286,20,289,6
15,286,20,327,24
15,321,12,324,18
15,321,12,324,18
15,343,1,345,24
15,343,1,345,24
15,343,1,345,24
15,343,1,345,24
16,131,1,133,16
16,131,1,133,16
16,154,1,155,24
16,154,1,155,24
16,160,1,163,24
16,160,1,163,24
16,160,1,163,24
16,160,1,163,24
16,188,1,191,24
16,188,1,191,24
16,214,1,217,24
16,214,1,217,24
16,286,20,289,6
16,286,20,289,6
16,286,20,289,6
16,286,20,289,6
16,308,1,311,24
16,308,1,311,24
16,321,12,324,18
